,open,close,high,low,volume,amount,adx,absolute_price_oscillator,balance_of_power,cci,chande_momentum_oscillator,percentage_price_oscillator,macd,wr_6,rsi_6,stochastic_oscillator,tema,tr,atr
0,33719.76826247808,33720.26501598498,33724.99000000009,30837.37000000009,90864.00987213507,2114337.1652236325,,0.0,0.00017202869730118873,,,0.0,0.0,0.163629009880544,,,33720.26501598498,,
5,33716.11768577606,33716.81744666163,33717.710000000094,30837.370000000097,90863.58081030087,2114339.50071037,,-0.08939641103279428,0.00024294384884232642,-66.66666666673449,-100.0,-0.0002449021750213059,-0.07734931173763471,0.2830203883634164,0.0,0.0,33717.03809109833,2882.895015984883,2882.895015984883
10,33708.958538944746,33709.80195477321,33715.65000000009,30837.37000000009,90864.9099477432,2114374.998913228,100.0,-0.21784119255971746,0.0002930277208837806,-94.58878704459057,-100.0,-0.0005984494817327091,-0.31610835965693695,0.5259710497531358,0.0,0.0,33710.622429825205,2879.447446661543,2881.107387446855
15,33702.729748198675,33703.506131060545,33715.65000000011,30837.370000000083,90867.06288087518,2114425.2922128253,73.85057471264368,-0.3535060747744865,0.0002697384764060224,-90.53185598206198,-100.0,-0.0009759256605949783,-0.6442619590452523,0.7439991736983163,0.0,0.0,33704.157567693284,2878.280000000028,2880.0942833525623
20,33701.451476646704,33702.03526912789,33715.65000000012,30837.370000000086,90868.06790504062,2114460.610608856,70.08539661909916,-0.43768818811440724,0.00020282685533923168,-77.91500378006134,-100.0,-0.0012200776227856256,-0.8675413619785104,0.7949359982339433,0.0,0.0,33701.351405616406,2878.2800000000316,2879.5891191192445
25,33703.92535509286,33704.30775768867,33715.650000000125,30837.370000000097,90868.02308928756,2114484.917306073,71.09974487785358,-0.439019835437648,0.000132858024865284,-54.695309569158745,-77.83179722147575,-0.0012450250485082845,-0.88828272853425,0.7162383662469709,16.718327158773064,12.465826204812776,33702.49391153432,2878.280000000028,2879.287126576812
30,33706.16334258777,33706.46340809325,33714.35000000011,30837.370000000094,90868.93597096998,2114506.5458244435,65.12613991562894,-0.41496235343947774,0.00010429878048454046,-44.967920851737595,-60.91304369647443,-0.0012001306286234517,-0.7886294122799882,0.3904605673927989,30.03334625229334,24.290732065981018,33704.87780814863,2876.980000000014,2878.828024327847
35,33706.94478507149,33707.36057073912,33714.350000000086,30837.370000000094,90869.92320034196,2114551.744257569,61.48661113365722,-0.374021162486315,0.00014452157040533236,-35.92839243130446,-54.784201625474005,-0.0011073058787566946,-0.6664598077913979,0.2879994045404564,35.20696890911901,29.212153372043165,33706.67197723805,2876.9799999999923,2878.5018841674046
40,33706.9938520996,33707.648716098294,33714.35000000009,30837.370000000097,90882.38277723869,2114706.067589268,62.383127113448,-0.33341157421818934,0.00022762201985903802,-32.045757121505964,-52.91363220030109,-0.0010116288187353635,-0.5574232434883015,0.2779883785396412,37.00232202829677,30.792786177507462,33707.65547612377,2876.979999999996,2878.258834221268
45,33707.24946546752,33707.945505031734,33714.35000000009,30837.370000000104,90886.26383945055,2114793.2675156198,62.97881194425295,-0.2930990978020418,0.0002419340990261794,-28.22941939158331,-51.033636085203014,-0.0009134815374194272,-0.45667835145286517,0.26767704908456674,39.08843889007515,32.42083365269274,33708.23373040394,2876.9799999999886,2878.0711664789433
50,33708.6864934499,33708.987653240816,33713.92000000009,30837.370000000097,90888.32915128433,2114842.762427923,52.082742350243024,-0.24680521977643366,0.00010469478747580144,-21.182926948115593,-44.78319470894305,-0.0007965574219962387,-0.3219529135385528,0.23146972356090892,46.54691188086351,38.137579020865665,33709.1401166656,2876.5499999999956,2877.8635727649503
55,33709.83906363555,33709.75729629917,33713.92000000009,30837.37000000009,90887.9875238038,2114855.0671919375,36.72994324318274,-0.1932031496980926,-2.8425487607761646e-05,-12.014963149269343,-40.489408062524696,-0.0006569713154545564,-0.17652163450838998,0.1596362748763877,51.77957027781422,42.359486567834466,33709.9789433202,2876.550000000003,2877.6952569001955
60,33708.47306871056,33708.589534533705,33713.92000000011,30837.37000000009,90887.96169260822,2114873.988933616,35.54362885527446,-0.17692924755465356,4.048802320237388e-05,-26.49148252207669,-43.05192220115238,-0.0006118684312388091,-0.1322889520015451,0.20022612136296608,43.94668378978891,35.95368304999852,33709.40430293291,2876.5500000000175,2877.556383488911
65,33706.72578890989,33707.211883738484,33713.92000000011,30837.370000000097,90889.07546581629,2114909.885752783,34.710867568909045,-0.19282064689832623,0.00016898535697039638,-44.23844033142761,-38.346146455093674,-0.0006514190035384136,-0.1773054075820255,0.24811143148749554,36.19526364795487,28.396524928053186,33708.082686511814,2876.55000000001,2877.4401422370092
70,33707.85890888609,33708.15936699027,33713.92000000009,30837.370000000094,90889.30523945722,2114942.4381370987,30.371361264041674,-0.17907181364353164,0.00010445085403776254,-13.882721772050875,-8.653575231884505,-0.0006157136840770335,-0.15276714289939264,0.21517817328660188,44.30301620858217,41.428929184507815,33708.132961248186,2876.5499999999993,2877.3416676117677
75,33710.38370133816,33710.10768317001,33713.9200000001,30837.37000000009,90889.38037946633,2114964.64885475,31.558326671724714,-0.12030282109117252,-9.595458731866092e-05,99.00702160186302,45.110745553101495,-0.00046062421649894434,-0.014062809546885546,0.13253087309782016,57.59835514108262,100.0,33709.526802837565,2876.55000000001,2877.257390640301
80,33710.69605322453,33709.99564860735,33713.9200000001,30837.37000000009,90890.58006169743,2114979.435391957,32.40089334163161,-0.07805009553339914,-0.00024348772563616728,105.50428148821771,59.96395738173763,-0.0003436867037874533,0.08495988979120739,0.13642562767056535,56.66497983515141,98.61213062068303,33710.03219308806,2876.55000000001,2877.184633785778
85,33706.36346485922,33705.54026330729,33707.29000000013,30837.370000000097,90891.98561516785,2114986.104439998,33.000061675260454,-0.31481122815966955,-0.0002868378045142551,-283.87909897282003,7.9731661736583614,-0.0009612264704019676,-0.12115914751484524,0.2913120471682824,31.95412897184798,43.419405410937514,33707.05561791255,2872.6256486072525,2876.7300168524157
90,33697.20049579805,33696.51575202884,33707.10000000012,30837.37000000009,90892.72471549298,2114988.909924053,24.93029710939052,-0.7097275311425619,-0.0002386091267165241,-318.885659624224,-44.554315857033124,-0.0020257236865646,-0.8570015666628024,0.6050389519134398,15.51195631161066,0.0,33699.39277806704,2869.7300000000323,2876.0511872587003
95,33688.80531124005,33688.31552387297,33707.10000000013,30837.370000000083,90892.90931586293,2114982.634346003,19.17917281802926,-1.1920135462532926,-0.00017067367560196246,-246.8957155679638,-64.27601962629224,-0.003365808359265406,-1.9483349798174459,0.8901105882787743,9.936757146140039,0.0,33690.463045879835,2869.730000000047,2875.453457563502
100,33687.82769939618,33687.29938874288,33707.10000000013,30837.370000000086,90892.75135393455,2114957.712744934,15.07783672997914,-1.5511656628950732,-0.00018409768629633637,-172.24180972219426,-67.03099444304353,-0.004429335180442777,-2.835404040379217,0.9254353742232171,9.432637376874496,0.0,33686.323821601414,2869.730000000043,2874.924484768855
105,33691.470984347376,33690.86954101871,33707.100000000115,30837.370000000097,90892.05221815054,2114929.3775118943,12.151676279420958,-1.6966221212715027,-0.0002095818521843924,-112.41993940477218,-50.773796645745186,-0.004956246127246665,-3.2489249446152826,0.8013230773458992,25.391256178716503,15.65286824593901,33687.67698406756,2869.7300000000178,2874.454271971805
110,33692.68900919225,33692.386325014646,33707.10000000013,30837.370000000094,90890.53541593638,2114916.4935092493,21.99755994048461,-1.7347390479772002,-0.00010547479295992698,-84.72564803304861,-48.675559981060765,-0.005201265534082899,-3.4280662251476315,0.5193062867775268,31.541199442239602,22.303010372021404,33689.90509471246,2869.730000000036,2874.034635670205
115,33691.58914414907,33691.754935100595,33707.10000000014,30837.370000000094,90888.14299517329,2114916.018053513,32.110163093192504,-1.74908513250557,5.777231709150768e-05,-74.4853480109135,-52.99826282069199,-0.005374370217716344,-3.5701451844579424,0.5347215556704605,30.293842101385962,19.534763425417758,33690.78812869902,2869.730000000043,2873.658812031005
120,33691.43447170251,33691.80205153448,33707.10000000013,30837.370000000097,90885.4215073999,2114924.3436362073,39.330429364961525,-1.727925290895655,0.00012808864665824895,-63.63657090828368,-51.107825030494645,-0.005442466722651116,-3.6353773454466136,0.5330797136195103,30.539824807783432,19.741339300870713,33691.39330664723,2869.7300000000323,2873.321161587932
125,33691.872606233046,33692.267486220604,33707.10000000013,30837.370000000104,90883.03436797057,2114917.3455344215,44.48622157214731,-1.6698079240777588,0.00013760179095522544,-53.11269698634335,-46.79633947658274,-0.005398436562457338,-3.61087232184218,0.51686095136241,33.32876689707007,21.781977138161565,33692.08099045738,2869.730000000025,2873.0169448061097
130,33691.72757672717,33692.22408088304,33707.100000000115,30837.370000000097,90883.39835581329,2114936.0481680697,37.519878482940825,-1.5989960951774265,0.00017301424031808602,-47.07018437355717,-51.3529725964294,-0.005304186335256913,-3.5526624146368704,0.5183734747553702,33.17967932403002,21.591672081799555,33692.38432785842,2869.7300000000178,2872.7421494320893
135,33690.57452603071,33691.069416261504,33707.100000000115,30837.37000000009,90888.6358522472,2115018.3982865866,28.41650372376879,-1.5500876399382832,0.00017245184417876645,-49.47477523216752,-62.96297493799055,-0.005252921883952009,-3.5484304965284537,0.5586094768020992,29.033771676441134,16.52919524809918,33691.69595296804,2869.730000000025,2872.493356201691
140,33687.78561867675,33687.9767460765,33707.100000000115,30837.37000000009,90901.07753228776,2115251.729625917,21.91480102606451,-1.5711199809593381,6.660117841978792e-05,-69.92117280572828,-66.28630216930465,-0.005378778331476598,-3.7268027064419584,0.6663781583506735,20.71456038749784,2.9697851182243116,33689.20585947622,2869.730000000025,2872.2676333146333
145,33684.58837565392,33684.481724528414,33707.10000000009,30837.370000000097,90915.37370222101,2115572.7164395535,17.27108876473315,-1.6549768737786508,-3.7164167188156465e-05,-109.88826240105877,-65.28258521266406,-0.005673009811903716,-4.076640016959573,0.788167370160792,14.917842054376251,0.0,33685.69704693813,2869.729999999996,2872.0624527308987
150,33683.26113680375,33683.22039173727,33707.100000000115,30837.370000000094,90922.33828747305,2115751.744266551,25.729314183258825,-1.7229407055056072,-1.4198222996187151e-05,-149.4199687868153,-54.279327243619846,-0.005931007054219972,-4.394891361727787,0.8321203828534778,13.305362345936786,0.0,33683.4168162643,2869.7300000000214,2871.875623195927
155,33683.294952441036,33683.46451700157,33707.10000000011,30837.37000000009,90924.29339164631,2115822.088039961,28.108258692508656,-1.7365806837551645,5.908728714406752e-05,-126.03170599484577,-29.33207623134102,-0.006045701700205074,-4.574744411424035,0.8236134757814431,15.428492467678979,1.8361688510134333,33682.81688925324,2869.7300000000178,2871.705236216139
160,33682.95371243343,33683.1031853099,33707.1000000001,30837.37000000009,90923.8720727852,2115894.4590899204,29.80745662332369,-1.7265745800395962,5.2086041706523234e-05,-115.01033435299178,-26.418750638262942,-0.006092756070874347,-4.689228872906824,0.8362046147274211,14.785373597383241,0.0,33682.531579705705,2869.7300000000105,2871.549622151124
165,33683.0806835647,33683.10384356122,33707.10000000011,30837.370000000097,90925.27095397068,2115941.258613334,34.57398924054745,-1.6892188262609125,8.070444438709556e-06,-95.95603315746456,-63.06430587511966,-0.006059205792897587,-4.724584816765855,0.8361816769833363,14.793138021749542,0.007090826425816312,33682.59568468559,2869.7300000000105,2871.407314275824
170,33684.92510236225,33684.98874569046,33707.1000000001,30837.37000000009,90930.48980951055,2116029.203131747,30.499414404379685,-1.579655285586341,2.2177462065243907e-05,-54.92561053409122,-58.33108731987766,-0.005819526131073286,-4.55670797455241,0.7704994654428504,35.10980667711958,20.31166653238707,33684.09164113023,2869.7300000000105,2871.277019171317
175,33686.48665765385,33686.622141508364,33707.10000000013,30837.370000000083,90938.58644371055,2116034.751015582,37.879585216026676,-1.4254434948961716,4.72113594365208e-05,-20.80092928461837,-37.5092922581098,-0.005439997253689958,-4.250093486509286,0.7135813645104406,48.00251470355399,37.9069615495088,33685.968927210655,2869.730000000047,2871.1575921780945
180,33685.13942094093,33685.15898832479,33707.100000000115,30837.370000000086,90941.31020173624,2116075.597097503,43.15109691528729,-1.3277269497411908,6.8185452476112405e-06,-40.793222932543486,-43.99351783176809,-0.00519298861400499,-4.071829142099887,0.7645671082416148,39.55472566974706,22.43273147532476,33685.74110862776,2869.7300000000287,2871.0480169271536
185,33682.02930715609,33681.94170106235,33707.100000000115,30837.370000000097,90944.47261022619,2116126.4912818163,46.916442577965725,-1.3230216015253973,-3.0527643275542155e-05,-94.00329252282832,-57.84122332076044,-0.005188405064623969,-4.129529328696663,0.8766782567620663,27.01150344044278,0.0,33683.31333288805,2869.7300000000178,2870.947388177304
190,33679.35577852164,33679.41218845246,33707.1000000001,30837.370000000094,90950.29147219453,2116171.13073542,46.03899911871173,-1.3680278441024711,1.9656877412721098e-05,-132.62268682846272,-62.994677742015845,-0.005321256823381961,-4.3198123638067045,0.9648228769839524,20.791123046276283,0.0,33680.46221847543,2869.730000000007,2870.8548973495344
195,33674.678304497866,33674.771780558505,33707.10000000011,30837.370000000094,90951.40952337297,2116201.2834896557,47.90893080655542,-1.5089149164741684,3.257312034221301e-05,-206.46958671270102,-68.40905582317784,-0.005725045485225313,-4.7736468899965985,1.1265247755581087,13.79678479978351,0.0,33676.04471374212,2869.730000000014,2870.769820274389
200,33665.74666687944,33665.39235400756,33707.1000000001,30837.370000000097,90951.72646951144,2116200.0195370223,49.24459373352757,-1.8528979357324715,-0.00012346557755393156,-280.783648432123,-75.00490134798034,-0.006707267111072229,-5.792959899015841,1.4533648110646598,7.597506458026274,0.0,33667.72329293547,2869.730000000003,2870.69150676517
205,33659.99283582276,33659.41411641655,33707.1000000001,30837.370000000104,90951.00300386951,2116179.481601315,50.19863737302891,-2.2451435121838585,-0.00020166336422383911,-231.8076241281177,-76.90919864135118,-0.007867200778946908,-6.984054784676118,1.661685370524962,5.654295743731879,0.0,33660.27795683827,2869.729999999996,2870.6193717053898
210,33664.97877837493,33665.175982619396,33707.1000000001,30837.370000000097,90950.11667788027,2116177.281034961,42.46925576207645,-2.3327498601356638,6.871874513232734e-05,-126.19293944602245,-48.64468922076496,-0.008233079206867397,-7.3924413417844335,1.4609045931400861,27.191990618947287,21.17708353841697,33661.702120816546,2869.730000000003,2870.5528873983167
215,33671.402353193844,33672.26537503055,33707.100000000115,30837.37000000009,90949.75467745442,2116189.0974504384,43.71286757058696,-2.1553181190029136,0.0003007327646515187,-49.3363734195877,-25.487599364887544,-0.007867491629733556,-7.079675301691168,1.2138641952228086,45.54609545133413,47.2333385853301,33667.941720827504,2869.730000000025,2870.491576973412
220,33666.03222338258,33665.9311778468,33707.1000000001,30837.37000000009,90949.63218361328,2116191.425770842,44.60116127558463,-2.167253743191395,-3.521081627034014e-05,-88.01606263600533,-34.40426567993472,-0.007990684006149043,-7.244347914624086,1.4345886948706317,35.85509283592883,23.952717656878388,33666.54233875484,2869.7300000000105,2870.4350086818217
225,33654.940471358466,33653.707746258005,33707.100000000115,30837.370000000097,90949.92205762425,2116204.0065435166,49.654808803496074,-2.4874712573910074,-0.0004295613526223038,-149.97353682794144,-47.30988613688207,-0.008961845060731402,-8.239284302930173,1.8605323059001717,24.019968847989816,0.0,33657.43324644212,2869.7300000000178,2870.382790942965
230,33650.36265912629,33649.5109783884,33707.1000000001,30837.370000000094,90951.44717396641,2116218.1882726015,49.67538942175089,-2.801347591863305,-0.0002967807904868136,-144.2623117747014,-55.049459824606025,-0.009952294103557878,-9.250621781822701,2.0067749095458756,21.144419789387527,0.0,33650.74278579365,2869.730000000007,2870.334568028258
235,33649.57641813464,33649.75459562405,33707.10000000011,30837.37000000009,90954.09524250327,2116281.8986757044,51.867006948060045,-2.9782079024116683,6.208859001077057e-05,-118.37481486243612,-58.46673945300794,-0.010594862003139917,-9.91785695127328,1.9982857054867298,21.796571210563727,0.6564527090111499,33648.494562640255,2869.7300000000178,2870.2900162874853
240,33645.20987666353,33645.99640508172,33707.10000000009,30837.37000000009,90957.76226587105,2116350.7740235557,53.432447834628086,-3.1651334138732636,0.00027407749794923047,-122.15824024730638,-59.92530072201538,-0.011275760781186915,-10.620410361836548,2.1292454313957347,18.902626688065055,0.0,33645.43917161817,2869.730000000003,2870.2488408390323
245,33636.39053696697,33635.25821836993,33707.10000000011,30837.370000000097,90961.82110418659,2116456.9098358625,58.05460482267425,-3.5563217420967703,-0.00039457321665785735,-152.8221234043923,-64.06121957135464,-0.012535226498923793,-11.888911494294007,2.503433480856646,12.989400140789485,0.0,33637.07120157861,2869.7300000000105,2870.210772658155
250,33629.78905621185,33632.078025285606,33707.10000000009,30837.37000000009,90964.24022959947,2116584.8007815666,54.46138457041935,-3.875481972718262,0.0007976252378298546,-141.82305440142892,-64.37927476118281,-0.013632129772430968,-12.995609372330364,2.61425202769977,11.689790640158876,0.0,33631.76607402281,2869.730000000003,2870.175566007914
255,33623.27904017165,33622.87428852204,33707.10000000009,30837.370000000083,90968.66472229917,2116739.8045658586,46.03343065123366,-4.3086503636222915,-0.00014104171807334564,-155.74312209786825,-66.46090904691667,-0.015070629791141495,-14.435686183111102,2.934969891873633,8.675370620034045,0.0,33623.69212803837,2869.7300000000105,2870.1429961661793
260,33625.48108619996,33624.86546223373,33707.10000000009,30837.370000000086,90969.86166982137,2116800.461448734,40.013463769962684,-4.4975379714342125,-0.00021452330575715678,-125.26452872595277,-57.323154489102976,-0.015866114247475818,-15.242401370102016,2.865584489355438,14.405557759529358,3.8367436142894804,33622.352492302554,2869.730000000007,2870.1128574092095
265,33628.92265788001,33628.92412102519,33707.10000000011,30837.370000000097,90975.99030169226,2116868.426060305,41.56600056506942,-4.442923513954156,5.098546500788999e-07,-90.88307324844985,-44.33011923448568,-0.0159831337221462,-15.381134351417131,2.7241545014657818,25.794232430983058,12.248834619399299,33625.41972080856,2869.7300000000105,2870.0849612183288
270,33623.71688721677,33623.2762433507,33707.1000000001,30837.370000000094,90983.58669535838,2116926.7962467805,39.64144995625739,-4.4878295213020465,-0.000153548893472988,-98.77431253650417,-61.02014244015959,-0.016344999121203522,-15.758613937548944,2.920963179442162,21.105042376192287,0.813820583984189,33623.34899128687,2869.730000000007,2870.0591346811493
275,33620.36246200607,33619.99460813605,33707.100000000115,30837.370000000094,90985.67777466877,2116953.8051322624,42.95913487592899,-4.537683382135583,-0.00012818413928348933,-95.99567604286011,-80.59304291742002,-0.016705191291652315,-16.13287483761087,3.0353166278384114,18.730835086923264,0.0,33620.49093426602,2869.7300000000214,2870.0352190629455
280,33632.66517313633,33630.57644128608,33707.1000000001,30837.370000000097,90987.6018031628,2117017.6890632403,45.32890979766165,-4.191734636249748,-0.0007278496061476305,-42.61138924759941,-51.160671271796176,-0.015946848137300244,-15.407477355161973,2.6665769502368963,43.37809854085691,20.244266114158396,33627.02717004028,2869.730000000003,2870.013068527253
285,33646.72371358777,33646.07485823635,33707.100000000115,30837.370000000104,91011.50229098363,2117242.2799145556,50.52055191909017,-3.4172521716755,-0.00022610327501922898,45.93653522583415,-10.545534238969504,-0.013925005182891883,-13.440239514500718,2.1265116148126197,63.065334819055536,56.77448330278404,33640.98703127499,2869.7300000000105,2869.9925489877296
290,33642.3335181969,33643.35793056595,33707.10000000011,30837.370000000097,91031.38934945874,2117459.945638427,48.31535288636522,-2.862938452668459,0.0003569716903854946,47.015470955135854,-8.678432985059862,-0.012400778095576178,-11.960356419993332,2.2211869909072663,58.7669486708184,69.30034915583,33644.91560261511,2869.7300000000105,2869.9735370757244
295,33629.082388733,33631.00789246642,33707.100000000115,30837.37000000009,91039.77465811474,2117630.604029236,46.740210725193286,-2.7584859593916917,0.0006709703468348443,-26.27643903470396,-22.584520446308325,-0.012059419619491283,-11.640703401477367,2.651542393664033,42.83991791137985,37.007019357156274,33637.31248571706,2869.730000000025,2869.95591921016
300,33626.87518410141,33627.588303003286,33707.1000000001,30837.37000000009,91043.56267265101,2117720.2433628105,45.615109184080765,-2.7318451556820946,0.0002484968627280054,-45.21879757449379,-22.267434268213293,-0.01192988548189905,-11.527924581212574,2.7707030625469544,39.30083771694275,25.516458534466523,33631.11277535718,2869.7300000000105,2869.939590758058
305,33632.47300335454,33630.79109096175,33707.1000000001,30837.370000000097,91043.7399052911,2117753.2845252864,44.811465227460445,-2.5725911185290897,-0.0005860873297462065,-8.647344172257526,-5.945636703959686,-0.011434125003242394,-11.054553752896027,2.6590971637877034,44.45786909936644,41.39715985920036,33630.57931674695,2869.730000000003,2869.924455275599
310,33640.90505993346,33639.96118024106,33707.10000000009,30837.370000000094,91047.34704734548,2117808.038359096,40.1217081846086,-2.146036380989244,-0.00032890888425061407,100.37070470930722,9.71756199629146,-0.01017565318177309,-9.831404171862232,2.33955179612912,57.007621834027645,76.55820794746755,33636.900459591845,2869.7299999999996,2869.9104238208597
315,33642.45303169346,33642.32612635689,33707.100000000115,30837.37000000009,91054.03166271505,2117875.370949931,45.184093768219114,-1.7249860536976485,-4.422204756844602e-05,109.4584775217145,26.185779740448304,-0.008882818736829513,-8.573641865317768,2.257141739579036,59.81744574114251,85.62616591082718,33641.31576677833,2869.730000000025,2869.897414330508
